NodeSize	Index	Nall	Nsample	Pall	Psample	Pfilter	Pbest
100	3	20000	10000	0.1316	0.173	0.2632	0.437
100	4	24000	10000	0.09525	0.0717	0.164	0.397
100	5	20000	10000	0.171	0.1816	0.2758	0.571
100	6	20000	10000	0.12425	0.1158	0.2471	0.525
100	7	16000	10000	0.03425	0.0347	0.0388	0.074
100	8	16000	10000	0.005625	0.0055	0.0063	0.014
100	9	24000	10000	0.085375	0.0778	0.1918	0.315
110	0	21600	10000	0.010833333	0.019	0.0222	0.038
110	1	28800	10000	0.001944444	0.0032	0.0052	0.014
110	2	32400	10000	0.137932099	0.1673	0.4397	0.685
110	3	21600	10000	0.066203704	0.0997	0.1401	0.202
110	4	21600	10000	0.072175926	0.0173	0.1518	0.268
110	5	21600	10000	0.002175926	0.0023	0.0041	0.008
110	6	25200	10000	0.123055556	0.0879	0.3083	0.662
110	7	32400	10000	0.015185185	0.0069	0.0486	0.114
110	8	25200	10000	0.056428571	0.0447	0.1412	0.3
110	9	18000	10000	0.040444444	0.0454	0.0572	0.285
120	0	19200	10000	0.040625	0.0468	0.076	0.23
120	1	19200	10000	8.85417E-4	5E-4	0.0017	0.007
120	2	25600	10000	0.049648438	0.081	0.1053	0.295
120	3	16000	10000	0.0071875	0.0068	0.011	0.03
120	4	19200	10000	3.64583E-4	3E-4	7E-4	0.002
120	5	22400	10000	0.191026786	0.1674	0.2657	0.64
120	6	22400	10000	0.002410714	7E-4	0.0054	0.018
120	7	19200	10000	0.214010417	0.1484	0.3596	0.57
120	8	16000	10000	0.0915625	0.1057	0.146	0.275
120	9	22400	10000	0.007410714	0.0087	0.0165	0.039
130	0	21000	10000	0.002333333	0.0019	0.0048	0.018
130	1	15000	10000	0.070333333	0.0713	0.0987	0.205
130	2	21000	10000	0.010571429	0.0104	0.0222	0.04
130	3	21000	10000	0.005666667	0.0044	0.011	0.037
130	4	18000	10000	0.061277778	0.0826	0.1103	0.254
130	5	18000	10000	0.009777778	0.0113	0.0148	0.041
130	6	21000	10000	0.012666667	0.0103	0.0247	0.082
130	7	21000	10000	0.085428571	0.0548	0.1794	0.447
130	8	27000	10000	0.008296296	0.0152	0.0184	0.052
130	9	24000	10000	9.58333E-4	0.0019	0.0023	0.006
140	0	28000	10000	0.023964286	0.0061	0.0523	0.149
140	1	22400	10000	0.004017857	0.0058	0.008	0.019
140	2	28000	10000	0.065678571	0.0914	0.1572	0.346
140	3	22400	10000	0.006830357	0.0023	0.0144	0.057
140	4	19600	10000	0.019540816	0.0219	0.0357	0.075
140	5	19600	10000	0.017857143	0.02	0.0342	0.129
140	6	16800	10000	0.009107143	0.0132	0.0142	0.053
140	7	16800	10000	4.16667E-4	3E-4	7E-4	0.003
140	8	28000	10000	0.007571429	0.0049	0.0211	0.05
140	9	19600	10000	0.002346939	0.001	0.0046	0.023
150	0	23400	10000	0.009059829	0.0032	0.02	0.045
150	1	20800	10000	0.097548077	0.0723	0.1825	0.459
150	2	28600	10000	0.002447552	0.0024	0.0065	0.014
150	3	18200	10000	7.69231E-4	9E-4	0.0014	0.004
150	4	28600	10000	0.001258741	0.0013	0.0034	0.009
150	5	26000	10000	0.002346154	9E-4	0.0025	0.008
150	6	20800	10000	0.005240385	0.006	0.0089	0.019
150	7	23400	10000	0.018034188	0.0272	0.0371	0.083
150	8	18200	10000	0.010604396	0.0067	0.0175	0.056
150	9	20800	10000	0.036826923	0.0134	0.0715	0.25
