Node	Index	Nsample	Psample	Pfilter	Pbest
70	14	10000	0.0238	0.0376	0.133
70	15	10000	0.1243	0.261	0.801
70	16	10000	0.0161	0.0202	0.058
70	17	10000	0.0075	0.0198	0.06
70	18	10000	0.02	0.0385	0.19
70	19	10000	0.0533	0.1136	0.305
80	0	10000	0.1245	0.2665	0.594
80	1	10000	0.1401	0.2518	0.818
80	2	10000	0.1828	0.3651	0.635
80	3	10000	0.0285	0.2111	0.558
80	4	10000	0.107	0.1464	0.26
80	5	10000	0.034	0.1422	0.61
80	6	10000	0.0561	0.1699	0.382
80	7	10000	0.0538	0.1439	0.378
80	8	10000	0.0058	0.0095	0.025
80	9	10000	0.0812	0.243	0.608
80	10	10000	0.0243	0.0518	0.096
80	11	10000	0.1111	0.2583	0.529
80	12	10000	0.0592	0.1114	0.314
80	13	10000	0.0696	0.1058	0.178
80	14	10000	0.1692	0.2159	0.6
80	15	10000	0.0167	0.0426	0.091
80	16	10000	0.1483	0.1537	0.727
80	17	10000	0.0204	0.1147	0.78
80	18	10000	0.0016	0.0597	0.239
80	19	10000	0.1045	0.3467	0.638
90	0	10000	0.0108	0.0718	0.179
90	1	10000	0.0313	0.0578	0.193
90	2	10000	0.0162	0.1294	0.355
90	3	10000	0.0818	0.1528	0.456
90	4	10000	0.0329	0.1485	0.581
90	5	10000	0.1296	0.2634	0.561
90	6	10000	0.0143	0.0613	0.154
90	7	10000	0.0706	0.1821	0.694
90	8	10000	0.0178	0.0613	0.166
90	9	10000	0.0091	0.0319	0.104
90	10	10000	0.0214	0.1126	0.281
90	11	10000	0.0215	0.0636	0.141
90	12	10000	0.0944	0.125	0.355
90	13	10000	0.0981	0.1752	0.396
90	14	10000	0.0419	0.0806	0.312
90	15	10000	0.1248	0.1738	0.389
90	16	10000	0.1202	0.1828	0.537
90	17	10000	0.1317	0.199	0.536
90	18	10000	0.0184	0.0369	0.086
90	19	10000	0.0744	0.1622	0.322
100	0	10000	0.0183	0.0338	0.13
100	1	10000	0.0266	0.1221	0.32
100	2	10000	0.0684	0.1697	0.313
100	3	10000	0.0011	0.0091	0.06
100	4	10000	0.004	0.0077	0.04
100	5	10000	0.0084	0.0094	0.051
100	6	10000	0.0362	0.1401	0.601
100	7	10000	0.2801	0.3481	0.784
100	8	10000	0.0764	0.1605	0.522
