NodeSize	Index	Nall	Nsample	Pall	Psample	Pfilter	Pbest
100	4	16000	10000	0.0160625	0.0211	0.0257	0.068
100	5	16000	10000	0.0665	0.06	0.1051	0.268
100	6	24000	10000	0.066625	0.034	0.1473	0.375
100	7	16000	10000	0.0885625	0.0852	0.1103	0.224
100	8	24000	10000	0.152458333	0.2756	0.3461	0.693
100	9	20000	10000	0.1004	0.1538	0.2008	0.368
110	0	25200	10000	0.008095238	0.0067	0.018	0.037
110	1	21600	10000	0.038981481	0.0354	0.0727	0.164
110	2	18000	10000	0.504222222	0.367	0.7404	0.944
110	3	18000	10000	0.057555556	0.069	0.1035	0.189
110	4	21600	10000	0.072638889	0.1101	0.1567	0.297
110	5	28800	10000	0.004236111	0.0037	0.0088	0.019
110	6	21600	10000	0.116990741	0.134	0.2278	0.377
110	7	21600	10000	0.158842593	0.164	0.3206	0.431
110	8	21600	10000	0.128657407	0.1013	0.266	0.424
110	9	25200	10000	0.140515873	0.095	0.274	0.6
120	0	25600	10000	0.101953125	0.1709	0.2373	0.691
120	1	16000	10000	0.0014375	0.0021	0.0023	0.009
120	2	28800	10000	0.084930556	0.0081	0.2248	0.471
120	3	22400	10000	1.78571E-4	4E-4	4E-4	0.002
120	4	28800	10000	0.050555556	0.0475	0.1257	0.22
120	5	25600	10000	0.224804687	0.1111	0.5437	0.834
120	6	19200	10000	0.066458333	0.0658	0.1022	0.188
120	7	19200	10000	0.038645833	0.0394	0.0742	0.194
120	8	19200	10000	0.117604167	0.1602	0.2206	0.421
120	9	16000	10000	0.079	0.0693	0.1118	0.173
130	0	21000	10000	0.049428571	0.0446	0.1009	0.222
130	1	27000	10000	0.09762963	0.0723	0.2374	0.393
130	2	21000	10000	0.14	0.1418	0.2347	0.459
130	3	18000	10000	0.001055556	0.0011	0.0014	0.007
130	4	24000	10000	7.08333E-4	1E-4	0.0017	0.007
130	5	18000	10000	0.0025	9E-4	0.0033	0.01
130	6	15000	10000	6.66667E-4	0.001	0.001	0.005
130	7	21000	10000	0.003	0.0022	0.0039	0.012
130	8	21000	10000	0.144761905	0.2106	0.2452	0.449
130	9	21000	10000	0.110285714	0.0876	0.173	0.346
140	0	25200	10000	0.006626984	0.0037	0.0132	0.032
140	1	19600	10000	0.033112245	0.0395	0.0541	0.18
140	2	28000	10000	0.012892857	0.0267	0.0361	0.102
140	3	19600	10000	0.296326531	0.0885	0.4803	0.962
140	4	25200	10000	0.012738095	0.0149	0.0321	0.101
140	5	19600	10000	0.018061224	0.0227	0.0232	0.14
140	6	22400	10000	0.002053571	0	0.0027	0.02
140	7	19600	10000	0.004642857	0.0086	0.009	0.073
140	8	19600	10000	0.018826531	0.0132	0.0354	0.111
140	9	14000	10000	0.042	0.0528	0.0573	0.274
150	0	26000	10000	0.0545	0.0406	0.1327	0.289
150	1	18200	10000	0.098901099	0.0897	0.1501	0.277
150	2	23400	10000	0.010854701	0.0125	0.0244	0.047
150	3	18200	10000	0.011868132	0.008	0.0201	0.048
150	4	18200	10000	0.044615385	0.0555	0.0713	0.166
150	5	18200	10000	0.018681319	0.0227	0.0287	0.066
150	6	18200	10000	0.035659341	0.0365	0.0558	0.101
150	7	20800	10000	0.008509615	0.0057	0.014	0.027
150	8	23400	10000	0.026282051	0.0263	0.0551	0.104
150	9	18200	10000	0.092142857	0.0829	0.1268	0.413
